song_id	song_name	artist_id	artist_name	popularity	explicit	song_type	track_number	num_artists	num_available_markets	release_date	duration_ms	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo
16GAMmkIzTIT7aH19TtW3f	Show You	['6M25WWmNO7wK1DnKmd3z6R']	['CXLOE']	45	False	Solo	1	1	79	2018-08-03	191235	6	0	4	0.0056	0.636	0.693	0.000604	0.114	-6.014	0.0647	0.388	96.09
0MET90crciVlxlE07ub7Rn	Good Love (feat. Tory Lanez)	['3dKjmeRZcSUw617CoMzEA0', '2jku7tDXc6XoB6MO2hFuqg']	['Nafe Smallz', 'Tory Lanez']	58	True	Collaboration	1	2	79	2019-06-21	192000	8	0	3	0.0209	0.614	0.641	0.0	0.0659	-6.751	0.288	0.492	123.539
7BpYWzZwrsljT1eIjb0TqR	Told You So	['74XFHRwlV6OrjEM0A2NCMF']	['Paramore']	61	False	Solo	3	1	79	2017-05-12	188946	2	0	4	0.0029	0.639	0.814	2.98e-05	0.0529	-5.632	0.0385	0.904	123.922
2GrYIUrAYK5TZhSh0RJV6H	Fantastic Boy	['4Kxlr1PRlDKEB0ekOCyHgX']	['BIGBANG']	0	False	Solo	4	1	0	2011-04-08	232586	11	0	4	0.00231	0.725	0.836	0.0	0.0927	-3.927	0.0571	0.544	130.053
7G7P0AOE4mXWvdSSroLfZA	Told You	['31lnFZEM6ysvjOx59VyxRE']	['Krept & Konan']	0	True	Solo	2	1	0	2017-10-20	152213	8	1	4	0.0883	0.854	0.552	1.93e-05	0.151	-7.065	0.0419	0.102	127.966
3B9LeuYJssQeocPce7eANk	Dans mon nuage	['37ioGUZGhKk7VjWIocx8kM']	['DTF']	38	True	Solo	3	1	79	2017-05-19	186099	7	0	4	0.541	0.808	0.58	0.0	0.103	-6.339	0.107	0.246	96.0
6FxCPvx8Ovm9y77DO6vuy5	"Main Title ""Somewhere in My Memory"" (From ""Home Alone"") - Voice"	['3dRfiJ2650SZu6GbydcHNb', '7CIcEIOiWaZcEH35cpsdZq']	['John Williams', 'Boston Pops Orchestra']	27	False	Collaboration	9	2	78	1970	294133	2	1	4	0.969	0.15	0.0577	0.363	0.0873	-21.255	0.0362	0.0701	71.564
0ZOLmB0W7ffKzdz3ipZBFW	Bulma	['2s7fZ34RK8RUJQ2ewsh6I5']	['RK']	42	True	Solo	16	1	79	2019-04-05	181901	0	0	4	0.502	0.672	0.584	3.74e-05	0.128	-7.549	0.297	0.44	160.147
2uq4DBILXSbWlpwH101qwr	Pankani	['4vtz0m60CCrcsQmqDunDIR']	['Moha La Squale']	41	True	Solo	12	1	79	2018-05-25	173000	11	0	4	0.61	0.711	0.848	0.0	0.104	-5.368	0.385	0.292	134.828
3cdxShmWeMHolKPDi3SRXM	Menace	['3NH8t45zOTqzlZgBvZRjvB']	['PNL']	57	True	Solo	13	1	79	2019-04-05	188864	8	1	4	0.119	0.756	0.552	0.0	0.104	-6.912	0.0596	0.4	146.095
6c0I7CfL9ziGZN8yYkLppP	Sharp Edges	['6XyY86QOPPrYVGvF9ch6wz']	['Linkin Park']	63	False	Solo	10	1	79	2017-05-19	178200	0	1	4	0.145	0.652	0.714	0.0	0.154	-5.678	0.0562	0.624	112.029
7nMFRf8xeyH3Rsec5ZUL45	C'est moi Mbappé	['1lB3I3SI30v2ZOpR4XQqzJ']	['Gambi']	57	True	Solo	1	1	78	2019-02-03	153384	0	1	4	0.46	0.914	0.864	0.0	0.12	-4.589	0.322	0.323	129.947
5pwD2ohJAN7byIBQczbFyE	fiji*	['2gtmbs0Uas9TBSMqkA4zjE']	['Data Luv']	42	False	Solo	1	1	79	2019-09-13	167768	1	1	4	0.0563	0.85	0.787	0.0	0.0831	-6.266	0.139	0.714	76.005
0KoNlOMhLWLSpHAuudIuiX	Elvira	['6W5uA6CNMf3hd2j4a2XWCx']	['Naps']	52	True	Solo	8	1	79	2017-05-19	202733	0	1	4	0.26	0.763	0.7	0.0222	0.217	-7.801	0.0565	0.808	106.931
3TliFEytbYoYrEfRu9P28P	La zone	['2ptKt4yP4mYRZmvi09JYyi']	['Timal']	42	True	Solo	12	1	79	2018-04-27	228186	7	0	4	0.637	0.494	0.486	0.0	0.315	-8.754	0.152	0.469	112.878
4KXdwfri1NIQCImLQr3Wli	Se Eu Tiver Solteiro	['7Lmrb6KcIzfkmgbtokjsAL']	['Mc Don Juan']	52	False	Solo	1	1	79	2017-10-09	169845	8	1	4	0.483	0.674	0.75	0.0	0.161	0.111	0.131	0.633	129.867
